Date,< 620,620-659,660-719,720-779,780+
00:Q1,0.466155526,0.487702599,0.483144327,0.550224052,0.425552943
00:Q2,0.465832961,0.461876394,0.427743695,0.482233257,0.368079786
00:Q3,0.470348866,0.4397444,0.384163723,0.424560979,0.323814373
00:Q4,0.50382115,0.449096416,0.414745616,0.453978443,0.345992003
01:Q1,0.52458935,0.461277332,0.431322427,0.473162165,0.3687836
01:Q2,0.525656295,0.484674011,0.465808391,0.521254693,0.42353135
01:Q3,0.54228078,0.525876127,0.551341637,0.629417464,0.505233681
01:Q4,0.560542901,0.580024628,0.607238024,0.691679787,0.578535168
02:Q1,0.590789539,0.627383765,0.719123753,0.842509386,0.743302535
02:Q2,0.618033844,0.654474656,0.780008676,0.932360421,0.850132527
02:Q3,0.64686616,0.670849003,0.80103179,0.965047838,0.915182917
02:Q4,0.670810382,0.697773488,0.869755841,1.045888337,1.010527262
03:Q1,0.66148082,0.73604686,0.925636735,1.166125712,1.193758517
03:Q2,0.698947943,0.817685626,1.059258226,1.367494247,1.44382216
03:Q3,0.71549799,0.916996705,1.18404908,1.558459489,1.687835996
03:Q4,0.773683688,1.019236529,1.270558344,1.698474022,1.848904596
04:Q1,0.79130068,1.003760775,1.211176179,1.54993339,1.618817293
04:Q2,0.832365639,1.001198123,1.158331784,1.384594889,1.395992752
04:Q3,0.878293881,0.982327687,1.096176489,1.242969602,1.197337486
04:Q4,0.875365987,0.919159983,1.013338911,1.0738646,0.982539421
05:Q1,0.888417448,0.893167371,1.014857161,1.05640063,1.010078019
05:Q2,0.886134683,0.879588644,0.970332156,1.017572968,0.991254736
05:Q3,0.854597787,0.873198655,0.98435273,0.99572484,0.989248117
05:Q4,0.850032256,0.907511565,1.024539877,1.030761778,1.087033349
06:Q1,0.857624932,0.941924319,1.016390903,1.047910864,1.077808892
06:Q2,0.890303211,0.968116617,1.065129826,1.091667676,1.089579059
06:Q3,0.918738524,0.984590808,1.035508459,1.061232893,1.068359814
06:Q4,0.933080244,0.960362099,0.962493028,1.003899721,0.975321583
07:Q1,1,1,1,1,1
07:Q2,0.95771922,0.970246614,0.935133544,0.966162044,1.022267479
07:Q3,0.922584487,0.920258262,0.905543162,0.976165678,1.055361716
07:Q4,0.82492184,0.834725597,0.855053604,0.924560979,1.074709115
08:Q1,0.654558086,0.707458315,0.728868439,0.839772314,1.014555474
08:Q2,0.559947397,0.633807036,0.678936605,0.796996488,1.07083065
08:Q3,0.444642946,0.516823643,0.561411663,0.684037786,0.98486051
08:Q4,0.385588805,0.450527507,0.479813472,0.603936054,0.909896824
09:Q1,0.349213439,0.394182447,0.43702361,0.567639579,0.960241992
09:Q2,0.30154831,0.325556628,0.384690463,0.54708732,1.033528504
09:Q3,0.275420575,0.304389789,0.384225693,0.570207097,1.206696716
09:Q4,0.256438886,0.295071055,0.39232819,0.607593557,1.304107579
10:Q1,0.238573768,0.283788731,0.380321621,0.596306164,1.318408482
10:Q2,0.21549799,0.27789796,0.361684328,0.548407412,1.186959972
10:Q3,0.199047194,0.25975971,0.345804672,0.52147269,1.070621004
10:Q4,0.191256017,0.247578793,0.330203879,0.532638973,1.18742419
11:Q1,0.163838023,0.236196625,0.322225321,0.573646603,1.342398059
11:Q2,0.151655005,0.220354778,0.305416124,0.569771103,1.357088306
11:Q3,0.139918614,0.217692282,0.276027143,0.543005934,1.281929948
11:Q4,0.132053,0.205378241,0.277220053,0.523059222,1.227556567
12:Q1,0.132102625,0.209305422,0.274044122,0.481542933,1.152248461
12:Q2,0.130117612,0.214630412,0.291999752,0.519765048,1.251051977
12:Q3,0.136444841,0.233633973,0.32149718,0.582112147,1.474969676
12:Q4,0.138256166,0.262322362,0.35767181,0.641685842,1.574911275
13:Q1,0.145625527,0.270110161,0.392483113,0.690517137,1.719956873
13:Q2,0.164483152,0.283422638,0.429540807,0.726571394,1.797571093
13:Q3,0.167857675,0.294105901,0.458325587,0.732505753,1.79775079
13:Q4,0.167336609,0.279428895,0.448999194,0.707060676,1.693286812
14:Q1,0.167808049,0.284687323,0.421515771,0.648298413,1.423112056
14:Q2,0.151307627,0.266582354,0.378524509,0.549315732,1.166070172
14:Q3,0.150191058,0.234998502,0.351304456,0.489717815,0.963820962
14:Q4,0.146965411,0.245581922,0.346207474,0.448625409,0.871291873
15:Q1,0.143938266,0.221952275,0.361002665,0.455165314,0.916231151
15:Q2,0.154930276,0.242619895,0.398385697,0.50970086,1.066218422
15:Q3,0.160761253,0.273105468,0.419486274,0.496475718,1.291918118
