DATE,HQMCB40YR,HQMCB30YR
2011-10-01,5.53,5.41
2011-11-01,5.28,5.20
2011-12-01,5.27,5.18
2012-01-01,5.21,5.12
2012-02-01,5.09,5.03
2012-03-01,5.20,5.13
2012-04-01,5.16,5.09
2012-05-01,5.07,4.97
2012-06-01,4.96,4.85
2012-07-01,4.51,4.45
2012-08-01,4.53,4.48
2012-09-01,4.68,4.61
2012-10-01,4.60,4.51
2012-11-01,4.63,4.52
2012-12-01,4.80,4.68
2013-01-01,4.91,4.80
2013-02-01,5.05,4.93
2013-03-01,5.15,5.01
2013-04-01,4.92,4.78
2013-05-01,5.05,4.91
2013-06-01,5.46,5.34
2013-07-01,5.46,5.37
2013-08-01,5.60,5.51
2013-09-01,5.64,5.55
2013-10-01,5.55,5.45
2013-11-01,5.69,5.58
2013-12-01,5.62,5.53
2014-01-01,5.42,5.33
