Type,inc,mtmval,pay_mo_pre,dti_pre,pay_reduc,pay_mo_post,dti_post,dflt_post
lhs,5200,241000,1192.139685,0.229257632,-0.27,890.0303367,0.17115968,0.218
rhs,5200,241000,1162.904833,0.223635545,-0.046,1107.359332,0.212953718,0.275
